value,stat,p,N,ranks,CD
A_up,1651.5776772247355,0.0,221,"{'gr4j[kge]': 10.05, 'gr4j[lnnse]': 8.71, 'gru[nse]': 6.1, 'hbv[kge]': 13.72, 'hbv[lnnse]': 10.78, 'lstm[delta]': 5.24, 'lstm[logmse]': 12.05, 'lstm[mae]': 4.1, 'lstm[mse]': 7.1, 'lstm[nse]': 5.97, 'patchtst[nse]': 14.02, 'tcn[nse]': 9.18, 'transformer[delta]': 8.71, 'transformer[logmse]': 16.33, 'transformer[mae]': 5.64, 'transformer[mse]': 8.43, 'transformer[nse]': 6.86}",1.5852687226703626
A_lo,1174.5147724248054,4.384553786703475e-240,221,"{'gr4j[kge]': 10.18, 'gr4j[lnnse]': 8.3, 'gru[nse]': 7.51, 'hbv[kge]': 13.39, 'hbv[lnnse]': 9.03, 'lstm[delta]': 5.7, 'lstm[logmse]': 14.36, 'lstm[mae]': 6.13, 'lstm[mse]': 9.34, 'lstm[nse]': 9.77, 'patchtst[nse]': 12.6, 'tcn[nse]': 11.26, 'transformer[delta]': 5.06, 'transformer[logmse]': 11.16, 'transformer[mae]': 4.68, 'transformer[mse]': 7.87, 'transformer[nse]': 6.67}",1.5852687226703626
