,NSE,lnNSE,KGE,E5_up,E5_lo
NSE,1.0,-0.26237516283108986,-0.273230568823274,-0.7506513243595311,0.27437583320454967
lnNSE,-0.26237516283108986,1.0,0.3300043421623969,0.4891445940078159,-0.4972789345837625
KGE,-0.273230568823274,0.3300043421623969,1.0,0.5373425966131133,-0.3455325228571604
E5_up,-0.7506513243595311,0.4891445940078159,0.5373425966131133,1.0,-0.3291746631669051
E5_lo,0.27437583320454967,-0.4972789345837625,-0.3455325228571604,-0.3291746631669051,1.0
