basin,perturbation,pclass,A_up,A_lo,E5_up,E5_lo,B5_up,B5_lo,E1_up,E1_lo,E20_up,E20_lo,alpha_star_up,alpha_star_lo,delta_bar,beta_bar,Delta_asym,n,m1,zero_frac,cp1_up,ncp_up,cp1_lo,ncp_lo,H_mean_up,H_mean_lo,H5_up,H5_lo,NSE,lnNSE,KGE,KGEp,KGEnp,PBIAS,RMSE,RSR,VE,MAPE,SMAPE,BiasFHV,BiasFLV,BiasFMS,PeakBias,Q95Bias,Q90Bias,BFIBias
105102A,P2_peak_infl_1.15,P2,0.06334154452361081,0.022556121598232778,0.08096779456691755,0.0,0.05627722050264663,0.0,0.08468644329014155,0.0,0.06763543656028995,0.0,,0.27347850710619787,0.04535310475712656,0.0037674778911080693,0.040785422925378026,3652,37,0.2677984665936473,0.06,6,0.27,6,0.9789548425844214,0.9764468572583822,0.8183485299626956,,0.9428762164529212,0.9975164769979719,0.773715372436441,0.8591100250007806,0.8635424659111695,13.39932251694083,1.0661369181562985,0.23900582324930658,0.8213227916689951,12.701289835537768,9.070620951425306,16.66998486856947,0.04975938758738524,0.0570198456417174,15.704671493537864,0.0,0.0,-4.204229023982267
105102A,P2_peak_infl_1.30,P2,0.0717941416733432,0.022275220488122905,0.1173922179914502,0.0,0.11246814568561589,0.0,0.12812845281459856,0.0,0.07887405784284393,0.0,,0.34860335085324684,0.04701513192734075,0.009286200965246212,0.049518921185220305,3652,37,0.2677984665936473,0.07,6,0.27,6,0.9414286674920979,0.9323326898315953,0.38629215526816063,,0.8285655340400628,0.9969649306691518,0.5305334896415431,0.7123324635513933,0.7215561851040249,27.568039618752003,1.8469433267279864,0.4140464538671201,0.7092829226312369,13.430002663316326,9.403026385468147,33.75434150242327,-0.0673200087948266,-1.0038868668444791,33.97104341612574,0.0,0.0,-5.434147953218622
105102A,P3_base_infl_0.10,P3,0.10997126131110407,0.6887745161310915,0.05513560886121324,1.0,-0.011489137036928535,1.0,0.06262649265886225,1.0,0.05633430445311442,1.0,0.17561202456002023,,0.34976484785975287,0.32467695617816805,-0.5788032548199875,3652,37,0.2677984665936473,0.49,6,0.24,6,0.5645927431552541,0.5741882208984167,0.9866298796660162,0.0,0.9779398558965599,0.9970050023349224,0.9547467237048757,0.9703395783546774,0.9599999555222295,-2.562740751674849,0.6625347659532703,0.14852657709460687,0.8825082148252975,75.02913638838187,69.95296957195058,-5.023768992084923,-4.070408618826201,-18.232628283267946,-6.815713206014379,65898878302.78416,71938948702.40767,0.5643463139890786
105102A,P3_base_infl_0.25,P3,0.12959430515522957,0.7214445941888904,0.06831390762215032,1.0,0.00028779689157101395,1.0,0.0748594784027662,1.0,0.060707667137955175,1.0,0.019347831846854017,,0.38391168726372304,0.3612067171700962,-0.5918502890336608,3652,37,0.2677984665936473,0.51,6,0.25,6,0.45843954790644936,0.46835415392029256,0.9989073244392868,0.0,0.9758896065756297,0.9926247085128519,0.9622521332341883,0.9731868273818215,0.9660736683380765,1.2652757915525308,0.6926385327156317,0.15527521832015018,0.8632499347216183,172.54323264297128,76.78233745274461,1.2161704653473715,18.318043796458845,-31.600686948978506,0.021308636492005324,167693685774.8583,180972735221.10278,-1.698575536765861
105102A,P4_base_depl_0.50,P4,0.13800946229642547,0.11212971725004241,0.057482720902714876,0.0,0.0006552502504730981,0.0,0.06225116319003978,0.0,0.05918971377380898,0.0,0.03835379179846498,0.01,0.16083454889008797,-0.14217090801605595,0.02587974504638306,3652,37,0.2677984665936473,0.16,6,0.27,6,0.4139385467527779,0.42171176223714807,0.9994026950778307,,0.9829812103877048,0.988321257777768,0.9564378863353781,0.9654382102342665,0.9754686691456195,0.9144080043686483,0.5819274379077711,0.13045608307892448,0.8835174869873141,34.06831683919072,32.166909778017626,1.55755776404303,14.293017408399812,11.768711536182293,0.8844534301012147,0.0,0.0,-1.2345698621402834
105102A,P4_base_depl_0.75,P4,0.07978043311412635,0.049450361727532095,0.05710959797656518,0.0,-0.005943412700545566,0.0,0.06416880316220444,0.0,0.055817118501718915,0.0,0.013800247887446174,0.01,0.07807724557777923,-0.06101429405294264,0.03033007138659425,3652,37,0.2677984665936473,0.3,6,0.27,6,0.5144734865266942,0.5209289862284526,0.9980347852118179,,0.9773884877135254,0.9961974041281446,0.9848706191232145,0.9855620484698405,0.9784711782747737,0.10493300138075073,0.6707633184839377,0.1503712482041519,0.8779827963918057,18.90357533515269,15.615449115555844,0.32110170062375587,5.99820940613586,6.1592218564937395,1.499162786336656,0.0,0.0,-0.8620494042632875
105102A,P5_compensating,P5,0.3769111026103958,0.9370641270359767,0.1556841694366925,1.0,-0.1534413517566693,1.0,0.1580919781685915,1.0,0.094095963498451,1.0,0.3210472828025956,,0.6957607873136714,0.6540073110258163,-0.560153024425581,3652,37,0.2677984665936473,0.06,6,0.6,6,0.24226048312189094,0.24226048312189097,0.2206953629161444,0.0,0.9255380938242408,-0.7527903929077386,0.7497726337623347,0.7497726337623347,0.20356626255691046,9.50896874093214e-16,1.217226993359422,0.27287708986970527,0.5234786308027232,24422.610031209573,139.15215746273446,-26.067489143816506,-229.64669471091437,-94.29661580937355,-25.811342725567457,7365800606468.112,14052644168426.562,28.48340261868633
105102A,P6_shift_1d,P6,0.22364880089655576,0.05499052325567438,0.38454981291653895,0.00546448087431694,-0.15202274987642692,0.00546448087431694,0.35200174680700186,0.0,0.3114080089400759,0.008207934336525308,0.24096897241536816,0.01,0.12766190853185294,0.02200408399165112,0.16865827764088137,3652,37,0.2677984665936473,0.06,6,0.26,6,0.9201366424569013,0.912844499510954,0.9654503979210318,,0.2711574974069251,0.9313122316184943,0.628106836343796,0.6278049023599875,0.9733556551169384,0.5290354235693905,3.808213999738289,0.8537227316834636,0.2752310219612313,43.75916443589936,25.532381706370582,1.1371413325197264,-0.8689551664204455,0.031540300717169345,-23.130939624003947,0.0,0.0,-2.1656966858238444
105102A,P6_shift_3d,P6,0.37718488003863865,0.1149484777248206,0.6083802145530786,0.04918032786885246,-0.40066626393686205,0.04918032786885246,0.6521603751791772,0.08108108108108109,0.5215834088400583,0.03556771545827633,0.2873401112732457,,0.22693562123153488,0.05157017176566107,0.26223640231381806,3652,37,0.2677984665936473,0.12,6,0.27,6,0.8523891127968909,0.8502365395277958,0.8561675321834266,,-0.45294809356825017,0.7874871278799495,0.25893483905798576,0.2587750144806341,0.9473235870854961,0.5461537361494494,5.376870164030237,1.2053829655210206,-0.22077564730305754,126.01795574506997,45.38712424630704,0.5211079306974388,-2.693102389301995,0.5344336804678622,-77.27980280102005,0.0,0.0,-2.1799567708762675
105102A,P7_var_compress_0.80,P7,0.4221158848681449,0.9421437159425259,0.10473116671726286,1.0,-0.09991236418185169,1.0,0.13434601406965616,1.0,0.11453191838031804,1.0,0.1833195754482806,,0.7266024351594585,0.7079352741096171,-0.520027831074381,3652,37,0.2677984665936473,0.16,6,0.6,6,0.1035652825311805,0.10443032467239396,0.39844283827519533,0.0,0.942498194661625,-0.30157204311015384,0.7818710058991863,0.7872899856143104,0.6636864220703023,-0.6887826365883888,1.0696587299081597,0.23979534052682316,0.6444184454357601,13098.089029940733,145.32048703189167,-21.526335605816595,26.45875766559516,-90.64261429930473,-22.42423302141917,13542633626093.078,14374432288149.785,27.679467349088064
