model_a,model_b,criterion,n_basins,flip_rate
gr4j[lnnse],hbv[kge],E5_up,221,0.3212669683257919
gr4j[lnnse],hbv[kge],E5_lo,221,0.4796380090497738
gr4j[lnnse],hbv[kge],delta_bar,221,0.497737556561086
gr4j[lnnse],hbv[lnnse],A_up,221,0.2171945701357466
gr4j[lnnse],hbv[lnnse],A_lo,221,0.4072398190045249
gr4j[lnnse],hbv[lnnse],E5_up,221,0.25339366515837103
gr4j[lnnse],hbv[lnnse],E5_lo,221,0.6606334841628959
gr4j[lnnse],hbv[lnnse],delta_bar,221,0.29411764705882354
gr4j[lnnse],lstm[delta],A_up,221,0.3167420814479638
gr4j[lnnse],lstm[delta],A_lo,221,0.4117647058823529
gr4j[lnnse],lstm[delta],E5_up,221,0.3076923076923077
gr4j[lnnse],lstm[delta],E5_lo,221,0.38461538461538464
gr4j[lnnse],lstm[delta],delta_bar,221,0.36199095022624433
gr4j[lnnse],lstm[logmse],A_up,221,0.3665158371040724
gr4j[lnnse],lstm[logmse],A_lo,221,0.4298642533936652
gr4j[lnnse],lstm[logmse],E5_up,221,0.416289592760181
gr4j[lnnse],lstm[logmse],E5_lo,221,0.5701357466063348
gr4j[lnnse],lstm[logmse],delta_bar,221,0.4117647058823529
gr4j[lnnse],lstm[mae],A_up,221,0.22171945701357465
gr4j[lnnse],lstm[mae],A_lo,221,0.3438914027149321
gr4j[lnnse],lstm[mae],E5_up,221,0.20361990950226244
gr4j[lnnse],lstm[mae],E5_lo,221,0.334841628959276
gr4j[lnnse],lstm[mae],delta_bar,221,0.3076923076923077
gr4j[lnnse],lstm[mse],A_up,221,0.38461538461538464
gr4j[lnnse],lstm[mse],A_lo,221,0.5882352941176471
gr4j[lnnse],lstm[mse],E5_up,221,0.24434389140271492
gr4j[lnnse],lstm[mse],E5_lo,221,0.4841628959276018
gr4j[lnnse],lstm[mse],delta_bar,221,0.5339366515837104
gr4j[lnnse],lstm[nse],A_up,221,0.2850678733031674
gr4j[lnnse],lstm[nse],A_lo,221,0.5746606334841629
gr4j[lnnse],lstm[nse],E5_up,221,0.19909502262443438
gr4j[lnnse],lstm[nse],E5_lo,221,0.4751131221719457
gr4j[lnnse],lstm[nse],delta_bar,221,0.4660633484162896
gr4j[lnnse],patchtst[nse],A_up,221,0.15384615384615385
gr4j[lnnse],patchtst[nse],A_lo,221,0.25339366515837103
gr4j[lnnse],patchtst[nse],E5_up,221,0.09954751131221719
gr4j[lnnse],patchtst[nse],E5_lo,221,0.5158371040723982
gr4j[lnnse],patchtst[nse],delta_bar,221,0.2171945701357466
gr4j[lnnse],tcn[nse],A_up,221,0.48868778280542985
gr4j[lnnse],tcn[nse],A_lo,221,0.6470588235294118
gr4j[lnnse],tcn[nse],E5_up,221,0.3257918552036199
gr4j[lnnse],tcn[nse],E5_lo,221,0.4343891402714932
gr4j[lnnse],tcn[nse],delta_bar,221,0.6153846153846154
gr4j[lnnse],transformer[delta],A_up,221,0.3936651583710407
gr4j[lnnse],transformer[delta],A_lo,221,0.3891402714932127
gr4j[lnnse],transformer[delta],E5_up,221,0.34841628959276016
gr4j[lnnse],transformer[delta],E5_lo,221,0.40271493212669685
gr4j[lnnse],transformer[delta],delta_bar,221,0.3936651583710407
gr4j[lnnse],transformer[logmse],A_up,221,0.09502262443438914
gr4j[lnnse],transformer[logmse],A_lo,221,0.38009049773755654
gr4j[lnnse],transformer[logmse],E5_up,221,0.07692307692307693
gr4j[lnnse],transformer[logmse],E5_lo,221,0.5339366515837104
gr4j[lnnse],transformer[logmse],delta_bar,221,0.19457013574660634
gr4j[lnnse],transformer[mae],A_up,221,0.3257918552036199
gr4j[lnnse],transformer[mae],A_lo,221,0.34841628959276016
gr4j[lnnse],transformer[mae],E5_up,221,0.248868778280543
gr4j[lnnse],transformer[mae],E5_lo,221,0.3438914027149321
gr4j[lnnse],transformer[mae],delta_bar,221,0.3574660633484163
gr4j[lnnse],transformer[mse],A_up,221,0.3574660633484163
gr4j[lnnse],transformer[mse],A_lo,221,0.5158371040723982
gr4j[lnnse],transformer[mse],E5_up,221,0.3076923076923077
gr4j[lnnse],transformer[mse],E5_lo,221,0.4117647058823529
gr4j[lnnse],transformer[mse],delta_bar,221,0.49321266968325794
gr4j[lnnse],transformer[nse],A_up,221,0.3438914027149321
gr4j[lnnse],transformer[nse],A_lo,221,0.4434389140271493
gr4j[lnnse],transformer[nse],E5_up,221,0.2081447963800905
gr4j[lnnse],transformer[nse],E5_lo,221,0.4072398190045249
gr4j[lnnse],transformer[nse],delta_bar,221,0.4343891402714932
gru[nse],hbv[kge],A_up,221,0.19909502262443438
gru[nse],hbv[kge],A_lo,221,0.27601809954751133
gru[nse],hbv[kge],E5_up,221,0.2171945701357466
gru[nse],hbv[kge],E5_lo,221,0.33031674208144796
gru[nse],hbv[kge],delta_bar,221,0.23529411764705882
gru[nse],hbv[lnnse],A_up,221,0.18552036199095023
gru[nse],hbv[lnnse],A_lo,221,0.3936651583710407
gru[nse],hbv[lnnse],E5_up,221,0.14479638009049775
gru[nse],hbv[lnnse],E5_lo,221,0.37104072398190047
gru[nse],hbv[lnnse],delta_bar,221,0.3257918552036199
gru[nse],lstm[delta],A_up,221,0.5067873303167421
gru[nse],lstm[delta],A_lo,221,0.5067873303167421
gru[nse],lstm[delta],E5_up,221,0.31221719457013575
gru[nse],lstm[delta],E5_lo,221,0.48868778280542985
gru[nse],lstm[delta],delta_bar,221,0.5203619909502263
gru[nse],lstm[logmse],A_up,221,0.2081447963800905
gru[nse],lstm[logmse],A_lo,221,0.17194570135746606
gru[nse],lstm[logmse],E5_up,221,0.3755656108597285
gru[nse],lstm[logmse],E5_lo,221,0.21266968325791855
gru[nse],lstm[logmse],delta_bar,221,0.17194570135746606
gru[nse],lstm[mae],A_up,221,0.37104072398190047
gru[nse],lstm[mae],A_lo,221,0.4298642533936652
gru[nse],lstm[mae],E5_up,221,0.3665158371040724
gru[nse],lstm[mae],E5_lo,221,0.45701357466063347
gru[nse],lstm[mae],delta_bar,221,0.4072398190045249
gru[nse],lstm[mse],A_up,221,0.4072398190045249
gru[nse],lstm[mse],A_lo,221,0.43891402714932126
gru[nse],lstm[mse],E5_up,221,0.38009049773755654
gru[nse],lstm[mse],E5_lo,221,0.4841628959276018
gru[nse],lstm[mse],delta_bar,221,0.4253393665158371
gru[nse],lstm[nse],A_up,221,0.3665158371040724
gru[nse],lstm[nse],A_lo,221,0.4841628959276018
gru[nse],lstm[nse],E5_up,221,0.3936651583710407
gru[nse],lstm[nse],E5_lo,221,0.4841628959276018
