variant,branch,cv5,cv100,loo_abs,loo_rel,var_alpha100_across_basins
V1_volume,lo,0.3948920270808478,0.09351484439242526,17.340675255350334,0.043592068727555805,0.18340057945515353
V1_volume,up,0.11166325181429779,0.09351484439242551,0.019890611696800703,0.045050507350543514,0.1834005794551538
V2_mape,lo,0.27502602872441384,0.11449690830251572,0.044195272958085896,0.025508210284039212,60366.90973704055
V2_mape,up,0.11794943201701029,0.11449690830251555,0.022961868002681324,0.026489078533718513,60366.90973704035
V3_mae,lo,0.20385041916543684,0.16681628749458666,0.005232759308036433,0.051733519816720544,0.17730233411370153
V3_mae,up,0.21826297155988822,0.1668162874945867,0.27655292098207584,0.06687549860059988,0.17730233411370164
V4_delta,lo,0.06641389873113912,0.05841840643912584,0.0029810588928691345,0.00653505879225624,0.04665156226530479
V4_delta,up,0.107688775902812,0.05841840643912521,0.005034069076571765,0.020564850639569227,0.04665156226530478
V5_delta_ymax,lo,0.46798749262248995,0.3520336633106998,0.0008653219001309807,0.3561688155105489,4.109658597486761e-05
V5_delta_ymax,up,0.3740289182197424,0.3520336633106985,0.02559283700756533,0.24925931700120052,4.109658597486744e-05
