variant,n,spearman_branches
V1_volume,242,0.40537103293295934
V2_mape,168,0.3202175530595614
V3_mae,442,0.41271247168775477
V4_delta,442,0.3781089269335516
V5_delta_ymax,442,0.415186112646135
