basin,run,B5_up,BiasFHV,agree_peak,B5_lo,Q95Bias,agree_low,BFIBias,k_obs,k_sim,alpha_star,PBIAS
401217,aus_lstm_nse_s0,-0.08258510422871446,-1.1097394851489857,True,0.4135461830714403,56.01042604169096,True,-1.9505678193560254,0.9643652556616649,0.9494704454903234,0.9060494921693423,-3.569489376734369
405264,aus_lstm_nse_s0,-0.1873900496418041,-28.09100828543901,True,0.28588575555311063,12.012535294128988,True,-0.746686018335511,0.9646510992887386,0.9483949504384155,,-28.981856088057004
226222,aus_lstm_nse_s0,-0.12792812409059123,-9.02292123688049,True,0.38091604705317655,86.74678112545472,True,2.566009394670064,0.9798073900349846,0.9726709402974241,0.21084093741389928,28.6983775526698
613002,aus_lstm_nse_s0,0.08735597075566744,30.652691683465573,True,1.0,4302114248275.757,True,2.1268871789907546,0.9447616427132495,0.9450135290069357,,54.21157668532045
406208,aus_lstm_nse_s0,0.207904357476173,56.35106921698119,True,0.9508196721311475,772869586944.5801,True,-0.09959667837524437,0.9062529881347262,0.844034192506402,,88.34163615270383
230210,aus_lstm_nse_s0,0.48471510813461405,96.52103935259123,True,0.5792349726775956,0.0,False,22.534280890931523,0.8559520265463911,0.7853320877083767,,200.24505162627827
102101A,aus_lstm_nse_s0,-0.2962799773864041,-53.966776226917986,True,0.9942978512631774,3935.52147874448,True,21.204762337548246,0.9597559412073692,0.9399791627893398,0.17988972026838623,-14.324735349179992
305202,aus_lstm_nse_s0,0.0017310895702261145,10.266265702761421,True,0.5877479332333679,-99.99999997986112,False,-0.6500810724275243,0.8712146339741086,0.8083984899939866,0.034367907067658195,17.346497694161766
406224,aus_lstm_nse_s0,0.37246459863095654,-22.012394688841702,False,0.7377049180327869,0.0,False,95.60110574721843,0.7316046915699169,0.7971751837524133,0.014045482114065968,18.999616616871272
616002,aus_lstm_nse_s0,-0.3090468049238363,-51.00019236121418,True,0.37158469945355194,0.0,False,1.1031860911641658,0.855935544697308,0.8627674603062857,0.15899608592097142,-6.464529605848334
G9070142,aus_lstm_nse_s0,-0.14093249149079476,-11.859770308759083,True,0.4808743169398907,0.0,False,-0.24100967972357815,0.9565694004264568,0.8391587248159359,,-7.917940390601499
G8190001,aus_lstm_nse_s0,-0.1821453178122058,-24.697602353435133,True,1.0,4737824201583.862,True,-10.218452675663778,0.9123942763169588,0.9192736294657853,0.868925151779732,-31.816569003495264
G9030250,aus_lstm_nse_s0,-0.3660383467785019,-33.609746565807136,True,-0.7900893926043809,-99.99999997517959,True,1.1017661141761688,0.9813096462806983,0.8923157444138846,,-25.210042206559372
116006B,aus_lstm_nse_s0,-0.16483884137570634,-15.703271952624151,True,0.07519503089190273,-95.19623151827489,False,-0.504218408311727,0.9638981491780094,0.9198604447463681,,-19.429254259665456
410761,aus_lstm_nse_s0,-0.10440246393613653,16.93603428074917,False,0.6933437841889353,342.4767904141867,True,-5.976769083258531,0.9280133207693078,0.885662873041845,0.44087647804929936,22.0604745325738
210006,aus_lstm_nse_s0,-0.1034596491612251,-26.25590144549063,True,-0.08158344222150707,-99.99999792225066,True,0.7286571393711013,0.9380810499925735,0.8518229893963009,,-14.932016872234163
401217,aus_gr4j_kge,-0.02635410063251549,5.459057631162295,False,0.060634449747266506,-2.695095834194041,False,-0.11994413652357862,0.9643652500650548,0.9765225856311448,0.10731320257917394,8.79825793651739
405264,aus_gr4j_kge,-0.08012902649518212,-12.924704432113666,True,0.20731719561725329,-4.546574903595429,False,2.788895893975286,0.9646511225454653,0.9784719553031335,0.9745149434513812,-0.8157963305966369
226222,aus_gr4j_kge,-0.10999197162016681,68.73327292413052,False,0.2541466226497508,30.843652293902167,True,4.053433202580077,0.9798073964089659,0.9877239063517508,0.0980244796074324,50.63729817977172
613002,aus_gr4j_kge,0.07659952918728052,42.64977395270507,True,1.0,4279937621452.2617,True,2.8255544827778487,0.9447616319707925,0.9785283317702635,,58.24930391981746
406208,aus_gr4j_kge,0.17806824015688444,93.19638912864961,True,1.0,65441822282.73751,True,-24.164557650570156,0.9062530420257068,0.9238795896480239,,151.75641069620448
230210,aus_gr4j_kge,-0.10700687138271313,131.91635971644524,False,1.0,25305105622.100395,True,-22.073900027860667,0.8559520396051457,0.9274740246827177,0.1387461629261823,200.67998079274724
102101A,aus_gr4j_kge,-0.29456128298605916,-27.116438694312897,True,0.9356353973208295,307.8664942932758,True,-19.14118683200963,0.9597559219013969,0.986158402209016,,-15.518193802103227
305202,aus_gr4j_kge,-0.0787365231912471,13.862949055072635,False,0.7789006966555868,98.20292116064776,True,-10.137512859753311,0.8712146642179712,0.919024290836761,0.7276004461908412,13.430602320572069
406224,aus_gr4j_kge,0.20917708383302938,22.025751877076946,True,1.0,11331577059.431772,True,34.89929458436842,0.7316046691019101,0.9564472778545935,0.030219469742351537,54.6355122458899
616002,aus_gr4j_kge,-0.0505736085076478,38.126695763612446,False,1.0,2967796275.731522,True,-5.205530845726098,0.8559355680335773,0.9636368815379326,0.09250622119485974,67.90948491071657
G9070142,aus_gr4j_kge,-0.16280459654275897,-19.148169245296284,True,1.0,779821763345.1011,True,49.57650903448952,0.9565693919639731,0.9900862770619965,0.14322543687036693,2.8552895498669155
G8190001,aus_gr4j_kge,-0.2580314765996516,5.848105565883285,False,1.0,413045287630.06726,True,-33.98875978508361,0.9123943190239954,0.9856973906007949,0.9996239124809103,-33.931841177052036
G9030250,aus_gr4j_kge,-0.4185309786186732,-20.40885673688477,True,0.5425392782539709,160.70426270322702,True,4.700564042986025,0.9813096370236762,0.988752101788307,0.3896931951540149,-21.446637835489
116006B,aus_gr4j_kge,-0.09161150401542892,-10.372214859756344,True,0.46421195630155676,80.76880525551154,True,5.397586823334202,0.9638981434973052,0.9899386169101093,,-11.72608347920854
410761,aus_gr4j_kge,-0.2266633932442094,5.459603292200397,False,0.8278092834280212,283.14643925969546,True,8.24095933509972,0.9280133106820542,0.9711930219110818,0.8216210539576753,7.854975649465286
210006,aus_gr4j_kge,-0.2020313616481113,-31.29684990781936,True,0.9744026639073551,2015.277267454409,True,15.996265854635617,0.9380810257177394,0.9716532985116009,0.8874738705378181,-15.618649229246941
