basin,run,branch,L,L_mode,alpha,pointwise_width,simultaneous_width,maxt_c
406224,aus_lstm_nse_s0,up,15,fixed,0.01,0.20187977390916528,0.2980816796522214,2.793308562119695
406224,aus_lstm_nse_s0,up,15,fixed,0.05,0.2559357745041511,0.3889988155327324,2.793308562119695
406224,aus_lstm_nse_s0,up,15,fixed,0.2,0.09618697688866595,0.13820351418402232,2.793308562119695
406224,aus_lstm_nse_s0,up,15,fixed,1.0,0.091489903304108,0.13126098347548476,2.793308562119695
406224,aus_lstm_nse_s0,lo,15,fixed,0.01,0.29729729729729726,0.4131811957017235,2.6307236212284013
406224,aus_lstm_nse_s0,lo,15,fixed,0.05,0.16393442622950816,0.21614214359908113,2.6307236212284013
406224,aus_lstm_nse_s0,lo,15,fixed,0.2,0.11764705882352944,0.1568665584182687,2.6307236212284013
406224,aus_lstm_nse_s0,lo,15,fixed,1.0,0.09148990330410767,0.12362091838238998,2.6307236212284013
406224,aus_lstm_nse_s0,up,30,fixed,0.01,0.22439804540976185,0.32581406082598297,2.713664549414366
406224,aus_lstm_nse_s0,up,30,fixed,0.05,0.3013958945530698,0.45718186657880655,2.713664549414366
406224,aus_lstm_nse_s0,up,30,fixed,0.2,0.110865959937272,0.15339164356610913,2.713664549414366
406224,aus_lstm_nse_s0,up,30,fixed,1.0,0.11460346585173176,0.1580355943071008,2.713664549414366
406224,aus_lstm_nse_s0,lo,30,fixed,0.01,0.32432432432432434,0.4297837837837799,2.603235997346497
406224,aus_lstm_nse_s0,lo,30,fixed,0.05,0.18046448087431688,0.24517351699612422,2.603235997346497
406224,aus_lstm_nse_s0,lo,30,fixed,0.2,0.13683310533515736,0.18107655625825392,2.603235997346497
406224,aus_lstm_nse_s0,lo,30,fixed,1.0,0.11460346585173165,0.1516045703036797,2.603235997346497
406224,aus_lstm_nse_s0,up,60,fixed,0.01,0.26487582591699416,0.38313454309168016,2.77800863948036
