target,predictors,n,cv_r2_by_basin,cv_r2_by_model,spearman,abs_spearman
POD_Q95,NSE,3315,-0.0014870433604402544,-0.17039896184915432,0.3323912766032949,0.3323912766032949
POD_Q95,KGE,3315,0.006299695072010026,-0.17797866927872347,0.0974864606428353,0.0974864606428353
POD_Q95,E5_up,3315,0.5209854982604626,0.3401376051421531,-0.5299644806198591,0.5299644806198591
POD_Q95,B5_up,3315,0.7956562440551627,0.7110850912255311,0.883594905994067,0.883594905994067
POD_Q95,peak_branch_features,3315,0.8253298243445076,0.7488029685587991,,
CSI_Q99,NSE,3315,0.000254714585023863,-0.14376044087299494,0.6489188789120472,0.6489188789120472
CSI_Q99,KGE,3315,0.01818236786054197,-0.8764388368239461,0.486575875971322,0.486575875971322
CSI_Q99,E5_up,3315,0.4228103986240428,0.294127763807564,-0.5738219296706667,0.5738219296706667
CSI_Q99,B5_up,3315,0.3342721503467757,0.19933201905464953,0.549269362135992,0.549269362135992
CSI_Q99,peak_branch_features,3315,0.4294205044568452,0.29622849983658583,,
CSI_Q995,NSE,3315,0.0017879187031424326,-0.1091283388917816,0.6294775005391336,0.6294775005391336
CSI_Q995,KGE,3315,0.011337921242754078,-0.6937758660783763,0.46612339340154485,0.46612339340154485
CSI_Q995,E5_up,3315,0.3184683863600852,0.21174862638368236,-0.5217485799487579,0.5217485799487579
CSI_Q995,B5_up,3315,0.3023298940894718,0.1994571287083764,0.5462259797355726,0.5462259797355726
CSI_Q995,peak_branch_features,3315,0.3406799945724193,0.22699758702223177,,
FAR_Q99,NSE,2930,-0.0038503445495946752,-0.05746184203841535,-0.40838485449842676,0.40838485449842676
FAR_Q99,KGE,2930,0.033900373315762525,-0.8147014923074811,-0.19788098063853052,0.19788098063853052
FAR_Q99,E5_up,2930,0.047633109989861123,-0.004821521028138709,0.10123729874717197,0.10123729874717197
FAR_Q99,B5_up,2930,0.004563236755474853,-0.028702379643105423,0.28844770987061435,0.28844770987061435
FAR_Q99,peak_branch_features,2930,0.16833901350412067,0.1344094091703786,,
Q90_bias,lnNSE,3315,0.0028081361981914686,-9.388202134970859,-0.10776255909574116,0.10776255909574116
Q90_bias,NSE,3315,-0.008397497482253824,-2.814912365029784,0.025404971238469517,0.025404971238469517
Q90_bias,E5_lo,3315,0.03702505618497685,-4.302158865562686,0.6347290629999194,0.6347290629999194
Q90_bias,B5_lo,3315,0.03371172230802675,-3.8578206925025498,0.8868709055449033,0.8868709055449033
Q90_bias,low_branch_features,3315,0.09103120092171128,-7.333461137602309,,
Q95_bias,lnNSE,3315,0.0035297148003560876,-12.067220773454183,-0.04251886446019492,0.04251886446019492
Q95_bias,NSE,3315,-0.006699211793554394,-2.9425122370887316,0.04841177506964982,0.04841177506964982
Q95_bias,E5_lo,3315,0.05033881454624867,-4.846636951720732,0.6281438387240942,0.6281438387240942
Q95_bias,B5_lo,3315,0.04593525370608949,-4.361938284292258,0.8959881440336028,0.8959881440336028
Q95_bias,low_branch_features,3315,0.10266729525676266,-7.767954742928052,,
MAM7_bias,lnNSE,3315,0.0027323149623940334,-0.8296215098020809,-0.09417792263568407,0.09417792263568407
MAM7_bias,NSE,3315,-0.022176677052051463,-0.1781712416965255,0.05805524297313118,0.05805524297313118
MAM7_bias,E5_lo,3315,0.0011884454939140587,-0.20617375981595817,0.49388816470318164,0.49388816470318164
MAM7_bias,B5_lo,3315,0.0004885233960086222,-0.18499039801511347,0.7296346063688194,0.7296346063688194
MAM7_bias,low_branch_features,3315,0.029649224784466188,-0.351412249084186,,
dtp,all_curve_features,3315,0.5989985678753783,-0.061531100288210225,,
dtp,NSE,3315,-0.002764052140970574,-0.6612992578956408,-0.5498592501718818,0.5498592501718818
dtp,KGE,3315,-0.0006920165386118615,-2.1846365363626754,-0.38263864395880415,0.38263864395880415
