model,A_up,A_lo,E5_up,E5_lo,alpha_star_up,NSE,KGE,lnNSE,PBIAS
gru[nse],0.405,0.572,0.309,0.683,0.204,0.537,0.403,0.193,-3.307
lstm[nse],0.372,0.614,0.342,0.832,0.329,0.51,0.407,0.334,-9.675
patchtst[nse],0.483,0.709,0.518,0.793,0.203,0.042,-0.094,-0.407,0.292
tcn[nse],0.384,0.676,0.349,0.961,0.237,0.494,0.315,0.166,-6.028
transformer[nse],0.41,0.624,0.359,0.776,0.23,0.483,0.351,0.208,-10.476
