years,err_A_up,err_E5_up,err_E5_lo
1,0.21128078323386423,,
2,0.1884757051572297,0.18892977086430654,0.31051833922610605
3,0.15620336030591603,0.15879478044857864,0.2187891754935144
5,0.10517211833870413,0.10923736827966361,0.16641962044316477
10,0.0005909529252208223,0.0,0.0114754098360657
